"W1","W2","W3","W4","A","Y"
1,1,0.540163754485548,3.68968397960998,1,1
1,1,0.161840288899839,0.521247936412692,0,1
0,1,0.257343062898144,2.05007821437903,1,0
1,0,0.59736548201181,0.0691404682584107,1,0
1,1,0.435002423124388,4.31041551870294,0,1
0,0,0.538411593297496,1.72878945944831,1,0
0,1,0.634167386684567,2.77099252794869,0,0
1,1,0.934092185692862,4.44073043880053,0,1
0,0,0.998825776623562,1.53552742791362,0,1
0,1,0.276400656672195,0.56927741621621,1,0
1,1,0.634221102343872,4.31880566407926,0,1
1,1,0.000626889057457447,2.84873674507253,1,1
0,1,0.652838401729241,3.55801590718329,1,1
0,0,0.124672716949135,1.31196770933457,0,0
1,0,0.325144982431084,1.06009050505236,0,0
1,1,0.852521008113399,4.28461169824004,0,1
0,1,0.970382954925299,1.07543759979308,1,0
1,1,0.613674118416384,4.77923646336421,0,1
1,0,0.327616849215701,2.9243990953546,0,0
0,0,0.541813818737864,4.2972651636228,0,0
0,1,0.102810758864507,2.80926456209272,1,0
0,0,0.505710755009204,3.87411659234203,1,1
1,1,0.428638470126316,4.50932016246952,0,1
1,1,0.629166420549154,2.23974402877502,1,1
1,0,0.940592945087701,3.89418798149563,0,0
0,1,0.654342891648412,1.75129313021898,0,0
1,1,0.040558593114838,4.54562248894945,0,1
1,1,0.913558365078643,2.56038318853825,0,1
1,0,0.0484324099961668,0.387989715673029,0,0
0,1,0.0344978594221175,2.41623055655509,1,0
1,1,0.3429264575243,4.05504435882904,0,1
1,0,0.799991771345958,4.22107903519645,0,0
0,0,0.304242986720055,4.51875405036844,0,1
0,1,0.450785361928865,4.86263442318887,0,0
1,1,0.406773032620549,4.14071780396625,1,1
0,0,0.366811673389748,3.19673910620622,0,0
1,1,0.788041292224079,3.16921597695909,1,1
0,1,0.682236280525103,4.60965724545531,0,0
0,1,0.265326877823099,1.6933023754973,0,0
1,1,0.633609502809122,1.33270585676655,1,1
0,1,0.430056828074157,3.07631373521872,0,0
0,1,0.995013249339536,2.97803382505663,0,0
0,1,0.539495700504631,4.12858531111851,0,0
0,1,0.46499105845578,4.61030038655736,0,1
0,1,0.980317948618904,4.54366157064214,1,1
0,1,0.674980919575319,3.93917445093393,0,0
1,1,0.954844140680507,0.356413450790569,0,0
1,1,0.912890447536483,1.9467193656601,1,1
1,1,0.911209229147062,2.59160023531877,0,1
1,0,0.772668087622151,3.3102818322368,0,0
0,0,0.212788923410699,0.523649408714846,0,0
1,0,0.0778334734495729,2.82197038992308,0,1
1,1,0.801672685425729,2.79857584624551,0,1
0,0,0.122715040110052,0.803903007181361,1,0
0,1,0.572082891128957,2.73438240052201,0,1
0,0,0.733002497348934,0.0834750989452004,1,0
0,0,0.0242825406603515,4.65501996222883,0,1
0,1,0.764443239662796,0.254287843126804,1,0
0,0,0.731706896796823,4.4245862797834,0,0
1,0,0.0565330185927451,4.87462077056989,0,1
1,0,0.220548569224775,2.1560803859029,0,0
1,0,0.707993772346526,3.76327486592345,0,1
1,0,0.391446659108624,0.912993489764631,0,0
1,1,0.427482118597254,3.63685238757171,0,1
1,1,0.84956563427113,3.66912714438513,1,1
1,0,0.578746374696493,4.39249498071149,0,1
0,1,0.709072436438873,1.33758663665503,0,0
0,0,0.603489306755364,2.84074192633852,1,1
1,1,0.729352296795696,3.92600257997401,0,1
1,1,0.811947125708684,1.92251116386615,1,1
1,1,0.14133248385042,1.654854984954,1,1
0,1,0.0967780579812825,1.67698787525296,1,1
0,0,0.0313524478115141,1.86169941560365,0,0
1,0,0.29575693863444,1.59045924665406,0,0
1,0,0.381073231110349,1.59725638921373,1,0
1,1,0.377349100774154,2.12280371808447,1,1
0,0,0.387382514541969,2.25659329909831,0,0
0,0,0.0410370642784983,1.65681242477149,0,0
0,1,0.441979051101953,4.45732951746322,0,0
0,0,0.103082868969068,0.719135224353522,1,0
1,1,0.278973814565688,2.63449483318254,1,1
0,1,0.564727364573628,2.93335449998267,0,0
